borrower_id,borrower_name,department,book_id,title,author,category,subcategory,publication_year,borrow_date,return_date
5000,Budi Sukma,HR,1198,The Innovative History,Sari Yulianto,Teknologi,AI,2016,2025-07-17,2025-08-01
5001,Lina Setiawan,HR,1197,Understanding Power,Sari Ramadhan,Historis,Biografi,2010,2025-02-11,2025-03-12
5001,Lina Setiawan,HR,1118,The History of Discovery,Lina Hidayat,Historis,Sejarah Dunia,1993,2023-12-20,2024-01-06
5001,Lina Setiawan,HR,1194,Exploring Society,Lina Ramadhan,Historis,Biografi,2013,2025-01-18,2025-02-13
5002,Sari Pratama,IT,1256,A Journey through the Universe,Citra Kusuma,Sains,Kimia,2020,2025-04-06,2025-05-05
5002,Sari Pratama,IT,1234,The Art of Programming,Hadi Gunawan,Fiksi,Drama,2005,2023-10-02,2023-10-10
5003,Hadi Fauzi,Sales,1250,The Mysterious Science,Fajar Hidayat,Seni,Musik,2016,2023-09-28,2023-10-16
5003,Hadi Fauzi,Sales,1201,The Art of Programming,Rina Prasetyo,Seni,Seni Rupa,1991,2025-08-10,2025-08-28
5003,Hadi Fauzi,Sales,1080,The World of Ecology,Rina Fauzi,Teknologi,AI,2000,2024-09-07,2024-10-04
5004,Joko Hidayat,Sales,1131,The History of Revolution,Eka Sari,Fiksi,Puisi,2011,2024-10-10,2024-10-17
5005,Sari Nugroho,Marketing,1174,The Science of Gravity,Agus Saputra,Seni,Musik,1990,2025-07-13,2025-07-24
5005,Sari Nugroho,Marketing,1201,The Art of Programming,Rina Prasetyo,Seni,Seni Rupa,1991,2023-12-08,2024-01-07
5006,Maya Fauzi,Marketing,1123,The Science of Evolution,Agus Wibowo,Teknologi,AI,2019,2024-07-25,2024-08-20
5006,Maya Fauzi,Marketing,1293,A Journey through the Universe,Lina Putra,Seni,Musik,2016,2024-08-12,2024-09-02
5006,Maya Fauzi,Marketing,1078,The Science of Quantum Mechanics,Indah Prasetyo,Fiksi,Cerita Pendek,1993,2025-03-18,2025-03-29
5006,Maya Fauzi,Marketing,1218,The History of Revolution,Umar Nugroho,Fiksi,Drama,1995,2024-04-08,2024-05-05
5007,Eka Prasetyo,Marketing,1158,The World of Astronomy,Maya Halim,Seni,Teater,1999,2024-01-26,2024-02-15
5007,Eka Prasetyo,Marketing,1268,Understanding Power,Lina Santoso,Sains,Fisika,2016,2024-02-05,2024-03-03
5008,Tina Lestari,Operations,1285,The World of Medicine,Gita Fauzi,Teknologi,Keamanan Siber,2021,2025-03-08,2025-04-07
5009,Dewi Lestari,Operations,1015,The Art of Painting,Indah Ramadhan,Fiksi,Novel,1998,2024-11-06,2024-11-26
5009,Dewi Lestari,Operations,1163,A Journey through the Jungle,Joko Kusuma,Fiksi,Drama,2014,2024-07-16,2024-08-06
5010,Indah Kusuma,Marketing,1067,The Future of AI,Sari Sari,Fiksi,Drama,2017,2024-03-17,2024-03-24
5011,Umar Gunawan,Sales,1290,The History of Discovery,Lina Sukma,Seni,Fotografi,2018,2025-08-14,2025-09-05
5011,Umar Gunawan,Sales,1118,The History of Discovery,Lina Hidayat,Historis,Sejarah Dunia,1993,2024-01-25,2024-02-17
5011,Umar Gunawan,Sales,1013,Understanding Courage,Oka Wibowo,Fiksi,Cerita Pendek,2017,2025-05-21,2025-06-12
5011,Umar Gunawan,Sales,1183,The World of Medicine,Budi Halim,Teknologi,AI,2023,2025-09-08,2025-10-05
5011,Umar Gunawan,Sales,1040,A Journey through the Universe,Sari Wibowo,Seni,Teater,1998,2024-09-26,2024-10-08
5012,Maya Halim,Customer Service,1083,The History of Discovery,Umar Ramadhan,Historis,Biografi,1999,2024-04-28,2024-05-06
5012,Maya Halim,Customer Service,1098,The History of Discovery,Hadi Halim,Fiksi,Drama,1991,2024-11-01,2024-11-08
5013,Indah Putra,Marketing,1104,The Science of Evolution,Gita Lestari,Fiksi,Drama,2021,2024-03-09,2024-03-30
5013,Indah Putra,Marketing,1033,A Journey through the Universe,Oka Nugroho,Teknologi,Jaringan,2013,2025-06-02,2025-06-24
5014,Kiki Sukma,Marketing,1207,Mastering Biology,Dewi Halim,Sains,Matematika,1998,2024-10-17,2024-11-12
5014,Kiki Sukma,Marketing,1021,A Journey through the Jungle,Gita Ramadhan,Historis,Sejarah Lokal,2011,2025-04-17,2025-05-13
5014,Kiki Sukma,Marketing,1194,Exploring Society,Lina Ramadhan,Historis,Biografi,2013,2025-03-12,2025-04-04
5014,Kiki Sukma,Marketing,1160,The Art of Programming,Budi Setiawan,Fiksi,Puisi,2019,2025-06-27,2025-07-26
5015,Budi Fauzi,Finance,1233,The History of Discovery,Nina Kurniawan,Fiksi,Cerita Pendek,2015,2025-03-13,2025-04-01
5015,Budi Fauzi,Finance,1021,A Journey through the Jungle,Gita Ramadhan,Historis,Sejarah Lokal,2011,2023-10-20,2023-11-13
5015,Budi Fauzi,Finance,1125,A Journey through the Jungle,Eka Fauzi,Historis,Biografi,2008,2024-10-10,2024-11-02
5015,Budi Fauzi,Finance,1265,The History of Discovery,Indah Halim,Fiksi,Puisi,2011,2025-06-16,2025-06-24
5016,Gita Wibowo,Customer Service,1155,The Future of AI,Tina Setiawan,Historis,Biografi,2007,2024-11-15,2024-12-01
5016,Gita Wibowo,Customer Service,1146,Exploring Society,Dewi Hidayat,Teknologi,Jaringan,2012,2025-05-29,2025-06-06
5016,Gita Wibowo,Customer Service,1236,The World of Medicine,Agus Sukma,Fiksi,Cerita Pendek,2011,2025-08-16,2025-09-08
5016,Gita Wibowo,Customer Service,1085,The Science of Quantum Mechanics,Rina Setiawan,Teknologi,AI,2008,2024-02-02,2024-02-23
5017,Oka Pratama,Finance,1299,The Art of Writing,Joko Sari,Seni,Musik,2007,2024-01-26,2024-02-14
5017,Oka Pratama,Finance,1279,The Ancient Adventure,Maya Santoso,Teknologi,AI,1997,2024-11-06,2024-11-23
5018,Oka Santoso,IT,1103,The Science of Evolution,Kiki Hidayat,Sains,Matematika,2019,2024-08-06,2024-09-04
